"Lines","Long","Lat","crop","aridity_index_raw","aridity_index"
"88",0.683333,47.4,"arabidopsis",6313,0.6313
"108",-4.06667,48.5167,"arabidopsis",13052,1.3052
"139",-4.06667,48.5167,"arabidopsis",13052,1.3052
"159",3.93333,47.35,"arabidopsis",9627,0.9627
"265",-1.16667,44.65,"arabidopsis",9189,0.9189
"350",4.11667,46.6667,"arabidopsis",7802,0.7802
"351",4.11667,46.6667,"arabidopsis",7802,0.7802
"403",16.2667,49.3667,"arabidopsis",5988,0.5988
"410",16.3497,49.4211,"arabidopsis",5875,0.5875
"424",16.2815,49.4112,"arabidopsis",6422,0.6422
"428",16.232,49.403,"arabidopsis",6409,0.6409
"430",15.5,47,"arabidopsis",9357,0.9357
"470",-87.735,40.8313,"arabidopsis",8531,0.8531
"476",-87.735,40.8313,"arabidopsis",8531,0.8531
"484",-87.735,40.8313,"arabidopsis",8531,0.8531
"504",-87.735,40.8313,"arabidopsis",8531,0.8531
"506",-87.735,40.8313,"arabidopsis",8531,0.8531
"531",-87.735,40.8313,"arabidopsis",8531,0.8531
"544",-73.2089,40.9076,"arabidopsis",8983,0.8983
"546",-73.2089,40.9076,"arabidopsis",8983,0.8983
"628",-72.9069,40.7777,"arabidopsis",9005,0.9005
"630",-72.9069,40.7777,"arabidopsis",9005,0.9005
"680",-72.8615,40.9447,"arabidopsis",9439,0.9439
"681",-72.8615,40.9447,"arabidopsis",9439,0.9439
"685",-73.1493,40.9064,"arabidopsis",9210,0.921
"687",-73.1493,40.9064,"arabidopsis",9210,0.921
"728",-73.114,40.9352,"arabidopsis",9152,0.9152
"742",-73.114,40.9352,"arabidopsis",9152,0.9152
"763",74.3667,42.3,"arabidopsis",5088,0.5088
"765",73.41,42.19,"arabidopsis",5771,0.5771
"766",73.6333,42.5833,"arabidopsis",7560,0.756
"768",76.35,42.8,"arabidopsis",3654,0.3654
"772",72.4667,37.35,"arabidopsis",1303,0.1303
"801",-84.4639,37.9169,"arabidopsis",9313,0.9313
"853",-86.6691,41.7976,"arabidopsis",8834,0.8834
"854",-86.6691,41.7976,"arabidopsis",8834,0.8834
"867",-86.4366,41.8266,"arabidopsis",8762,0.8762
"868",-86.4366,41.8266,"arabidopsis",8762,0.8762
"870",-86.4366,41.8266,"arabidopsis",8762,0.8762
"915",-71.4378,41.8972,"arabidopsis",10394,1.0394
"932",-71.1445,42.3634,"arabidopsis",9124,0.9124
"991",14.0526813,55.3822641,"arabidopsis",0,0
"992",14.0526813,55.3822641,"arabidopsis",0,0
"997",14.0526813,55.3822641,"arabidopsis",0,0
"1002",14.0526813,55.3822641,"arabidopsis",0,0
"1006",14.0526813,55.3822641,"arabidopsis",0,0
"1061",14.1333,55.7167,"arabidopsis",9391,0.9391
"1062",14.1333,55.7167,"arabidopsis",9391,0.9391
"1063",14.1333,55.7167,"arabidopsis",9391,0.9391
"1066",14.1333,55.7167,"arabidopsis",9391,0.9391
"1070",14.1333,55.7167,"arabidopsis",9391,0.9391
"1158",16.5167,56.7,"arabidopsis",6985,0.6985
"1166",16.5167,56.7,"arabidopsis",6985,0.6985
"1254",17.0167,59.4333,"arabidopsis",6851,0.6851
"1257",17.0167,59.4333,"arabidopsis",6851,0.6851
"1313",16.8667,59.5667,"arabidopsis",7066,0.7066
"1317",16.8667,59.5667,"arabidopsis",7066,0.7066
"1552",18.3667,63.0833,"arabidopsis",11580,1.158
"1612",-86.583,41.9,"arabidopsis",8755,0.8755
"1622",-86.583,41.9,"arabidopsis",8755,0.8755
"1651",-86.4045,43.3431,"arabidopsis",8084,0.8084
"1652",-86.4045,43.3431,"arabidopsis",8084,0.8084
"1676",-86.607,41.879,"arabidopsis",8815,0.8815
"1684",-86.607,41.879,"arabidopsis",8815,0.8815
"1739",-85.398,42.405,"arabidopsis",8159,0.8159
"1741",-85.398,42.405,"arabidopsis",8159,0.8159
"1756",-86.358,42.184,"arabidopsis",8384,0.8384
"1757",-86.358,42.184,"arabidopsis",8384,0.8384
"1793",-86.67,41.847,"arabidopsis",8920,0.892
"1797",-86.67,41.847,"arabidopsis",8920,0.892
"1819",-86.67,41.8,"arabidopsis",8834,0.8834
"1820",-86.67,41.8,"arabidopsis",8834,0.8834
"1829",-86.509,42.051,"arabidopsis",8531,0.8531
"1834",-86.509,42.051,"arabidopsis",8531,0.8531
"1835",-86.509,42.051,"arabidopsis",8531,0.8531
"1851",-86.2657,43.595,"arabidopsis",8386,0.8386
"1852",-86.2657,43.595,"arabidopsis",8386,0.8386
"1853",-86.2657,43.595,"arabidopsis",8386,0.8386
"1872",-86.2657,43.595,"arabidopsis",8386,0.8386
"1890",-86.1859,43.5139,"arabidopsis",8176,0.8176
"1925",-86.1843,43.5251,"arabidopsis",8189,0.8189
"1942",-86.1843,43.5251,"arabidopsis",8189,0.8189
"1943",-86.1843,43.5251,"arabidopsis",8189,0.8189
"1954",-86.1739,43.5187,"arabidopsis",8193,0.8193
"2016",-86.1788,43.5356,"arabidopsis",8226,0.8226
"2017",-86.1788,43.5356,"arabidopsis",8226,0.8226
"2031",-86.412,42.166,"arabidopsis",8462,0.8462
"2053",-86.412,42.166,"arabidopsis",8462,0.8462
"2057",-86.412,42.166,"arabidopsis",8462,0.8462
"2081",-86.3368,43.2483,"arabidopsis",7923,0.7923
"2091",-86.3368,43.2483,"arabidopsis",7923,0.7923
"2106",-86.0891,43.2749,"arabidopsis",7975,0.7975
"2108",-86.0891,43.2749,"arabidopsis",7975,0.7975
"2141",-86.0891,43.2749,"arabidopsis",7975,0.7975
"2159",-86.431,42.148,"arabidopsis",8387,0.8387
"2166",-86.431,42.148,"arabidopsis",8387,0.8387
"2171",-86.431,42.148,"arabidopsis",8387,0.8387
"2191",-86.3929,43.7623,"arabidopsis",8297,0.8297
"2202",-86.3929,43.7623,"arabidopsis",8297,0.8297
"2212",-86.3929,43.7623,"arabidopsis",8297,0.8297
"2239",-86.382,42.184,"arabidopsis",8503,0.8503
"2240",-86.382,42.184,"arabidopsis",8503,0.8503
"2276",-86.496,43.665,"arabidopsis",8366,0.8366
"2278",-86.496,43.665,"arabidopsis",8366,0.8366
"2285",-86.496,43.665,"arabidopsis",8366,0.8366
"2286",-86.496,43.665,"arabidopsis",8366,0.8366
"2317",-86.514,42.03,"arabidopsis",8506,0.8506
"2370",-86.646,41.865,"arabidopsis",8876,0.8876
"2412",-86.646,41.865,"arabidopsis",8876,0.8876
"4779",-4.9,50.4,"arabidopsis",13657,1.3657
"4807",-4.9,50.4,"arabidopsis",13657,1.3657
"4826",-4.9,50.4,"arabidopsis",13657,1.3657
"4840",-4.9,50.4,"arabidopsis",13657,1.3657
"4857",-4.9,50.3,"arabidopsis",12989,1.2989
"4884",-4.9,50.3,"arabidopsis",12989,1.2989
"4900",-4.8,50.3,"arabidopsis",12733,1.2733
"4939",-4.7,50.4,"arabidopsis",13802,1.3802
"4958",-4.5,50.5,"arabidopsis",15391,1.5391
